timestamp,name,method,confidence,status
2025-11-30 19:05:46,tringuyen,LBPH,71.50,GRANTED
2025-11-30 19:05:49,tringuyen,LBPH,72.53,GRANTED
2025-11-30 19:05:52,tringuyen,LBPH,75.20,GRANTED
2025-11-30 19:06:02,tringuyen,LBPH,68.38,GRANTED
2025-11-30 19:06:07,tringuyen,LBPH,78.16,GRANTED
2025-11-30 19:06:10,tringuyen,LBPH,79.30,GRANTED
2025-11-30 19:06:16,tringuyen,LBPH,77.01,GRANTED
2025-11-30 19:06:19,tringuyen,LBPH,82.07,GRANTED
2025-11-30 19:06:22,tringuyen,LBPH,77.10,GRANTED
2025-11-30 19:06:25,tringuyen,LBPH,77.41,GRANTED
2025-11-30 19:06:29,tringuyen,LBPH,76.99,GRANTED
2025-11-30 19:06:32,tringuyen,LBPH,75.65,GRANTED
2025-11-30 19:06:35,tringuyen,LBPH,86.02,GRANTED
2025-11-30 19:06:43,tringuyen,LBPH,72.27,GRANTED
2025-11-30 19:06:46,tringuyen,LBPH,71.45,GRANTED
2025-11-30 19:06:49,tringuyen,LBPH,83.54,GRANTED
2025-11-30 19:06:52,tringuyen,LBPH,83.60,GRANTED
2025-11-30 19:06:53,Unknown,LBPH,105.34,DENIED
2025-11-30 19:06:55,tringuyen,LBPH,74.80,GRANTED
2025-11-30 19:06:58,Unknown,LBPH,99.26,DENIED
2025-11-30 19:07:01,Unknown,LBPH,97.70,DENIED
2025-11-30 19:07:01,tringuyen,LBPH,78.91,GRANTED
2025-11-30 19:07:04,tringuyen,LBPH,74.98,GRANTED
2025-11-30 19:07:04,Unknown,FACENET,1.00,DENIED
2025-11-30 19:07:07,Unknown,FACENET,1.00,DENIED
2025-11-30 19:07:10,Unknown,FACENET,1.00,DENIED
2025-11-30 19:07:14,Unknown,FACENET,1.00,DENIED
2025-11-30 19:07:28,Unknown,FACENET,1.00,DENIED
2025-11-30 19:08:08,Unknown,FACENET,1.00,DENIED
2025-11-30 19:08:11,Unknown,FACENET,1.00,DENIED
2025-11-30 19:08:26,Unknown,LBPH,91.42,DENIED
2025-11-30 19:08:29,Unknown,LBPH,72.37,DENIED
2025-11-30 19:08:39,tringuyen,LBPH,79.58,GRANTED
2025-11-30 19:08:49,tringuyen,LBPH,73.82,GRANTED
2025-11-30 19:08:58,Unknown,FACENET,1.00,DENIED
2025-11-30 19:09:01,Unknown,FACENET,1.00,DENIED
2025-11-30 19:09:03,tringuyen,LBPH,76.52,GRANTED
2025-11-30 19:09:06,tringuyen,LBPH,75.04,GRANTED
2025-11-30 19:09:07,Unknown,LBPH,82.24,DENIED
2025-11-30 19:09:11,Unknown,LBPH,91.87,DENIED
2025-11-30 19:09:12,tringuyen,LBPH,71.63,GRANTED
2025-11-30 20:45:32,tringuyen,LBPH,83.36,GRANTED
2025-11-30 20:45:32,Unknown,LBPH,117.73,DENIED
2025-11-30 20:45:35,tringuyen,LBPH,80.30,GRANTED
2025-11-30 20:45:35,Unknown,LBPH,122.29,DENIED
2025-11-30 20:45:41,tringuyen,LBPH,72.31,GRANTED
2025-11-30 20:45:43,Unknown,LBPH,101.97,DENIED
2025-11-30 20:45:44,tringuyen,LBPH,67.96,GRANTED
2025-11-30 20:45:47,tringuyen,LBPH,83.87,GRANTED
2025-11-30 20:45:48,Unknown,LBPH,93.22,DENIED
2025-11-30 20:45:50,tringuyen,LBPH,89.09,GRANTED
2025-11-30 20:45:51,Unknown,LBPH,90.12,DENIED
2025-11-30 20:45:53,tringuyen,LBPH,88.92,GRANTED
2025-11-30 20:45:56,Unknown,LBPH,92.28,DENIED
2025-11-30 20:45:56,tringuyen,LBPH,87.26,GRANTED
2025-11-30 20:45:59,Unknown,LBPH,95.53,DENIED
2025-11-30 20:46:01,tringuyen,LBPH,85.60,GRANTED
2025-11-30 20:46:04,tringuyen,LBPH,75.29,GRANTED
2025-11-30 20:46:07,tringuyen,LBPH,85.04,GRANTED
2025-11-30 20:46:10,tringuyen,LBPH,82.28,GRANTED
2025-11-30 20:46:11,Unknown,LBPH,94.85,DENIED
2025-11-30 20:46:14,tringuyen,LBPH,82.73,GRANTED
2025-11-30 20:46:14,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:17,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:20,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:23,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:26,Unknown,OPENFACE,1.00,DENIED
2025-11-30 20:46:29,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:31:31,minhtri,LBPH,77.60,GRANTED
2025-11-30 21:31:34,minhtri,LBPH,75.24,GRANTED
2025-11-30 21:31:38,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:31:42,minhtri,OPENFACE,0.27,GRANTED
2025-11-30 21:31:45,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:31:50,minhtri,OPENFACE,0.17,GRANTED
2025-11-30 21:31:54,minhtri,OPENFACE,0.17,GRANTED
2025-11-30 21:31:57,minhtri,OPENFACE,0.16,GRANTED
2025-11-30 21:32:00,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:32:03,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:32:08,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:32:11,minhtri,OPENFACE,0.15,GRANTED
2025-11-30 21:32:15,minhtri,OPENFACE,0.14,GRANTED
2025-11-30 21:32:19,minhtri,OPENFACE,0.17,GRANTED
2025-11-30 21:32:23,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:32:27,minhtri,OPENFACE,0.21,GRANTED
2025-11-30 21:32:31,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:32:34,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:32:38,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:32:43,minhtri,OPENFACE,0.15,GRANTED
2025-11-30 21:32:43,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:32:48,minhtri,OPENFACE,0.29,GRANTED
2025-11-30 21:32:52,minhtri,OPENFACE,0.33,GRANTED
2025-11-30 21:32:56,minhtri,OPENFACE,0.28,GRANTED
2025-11-30 21:32:56,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:33:00,minhtri,OPENFACE,0.42,GRANTED
2025-11-30 21:33:03,minhtri,OPENFACE,0.39,GRANTED
2025-11-30 21:33:07,minhtri,OPENFACE,0.43,GRANTED
2025-11-30 21:33:37,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:33:41,minhtri,OPENFACE,0.22,GRANTED
2025-11-30 21:33:46,minhtri,OPENFACE,0.28,GRANTED
2025-11-30 21:33:49,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:33:50,minhtri,OPENFACE,0.36,GRANTED
2025-11-30 21:33:59,minhtri,OPENFACE,0.23,GRANTED
2025-11-30 21:33:59,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:34:03,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:34:06,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 21:34:10,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:34:14,minhtri,OPENFACE,0.24,GRANTED
2025-11-30 21:34:17,minhtri,OPENFACE,0.22,GRANTED
2025-11-30 21:34:21,minhtri,OPENFACE,0.24,GRANTED
2025-11-30 21:34:24,minhtri,OPENFACE,0.23,GRANTED
2025-11-30 21:34:35,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:34:36,minhtri,OPENFACE,0.23,GRANTED
2025-11-30 21:34:38,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:34:41,minhtri,OPENFACE,0.25,GRANTED
2025-11-30 21:34:51,minhtri,OPENFACE,0.38,GRANTED
2025-11-30 21:34:54,minhtri,OPENFACE,0.23,GRANTED
2025-11-30 21:34:58,minhtri,OPENFACE,0.22,GRANTED
2025-11-30 21:35:02,minhtri,OPENFACE,0.25,GRANTED
2025-11-30 21:35:06,minhtri,OPENFACE,0.41,GRANTED
2025-11-30 21:35:09,minhtri,OPENFACE,0.35,GRANTED
2025-11-30 21:35:13,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:35:14,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:17,minhtri,OPENFACE,0.33,GRANTED
2025-11-30 21:35:19,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:27,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:29,minhtri,OPENFACE,0.36,GRANTED
2025-11-30 21:35:31,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:34,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:36,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:35:37,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:39,minhtri,OPENFACE,0.24,GRANTED
2025-11-30 21:35:42,minhtri,OPENFACE,0.35,GRANTED
2025-11-30 21:35:44,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:47,minhtri,OPENFACE,0.35,GRANTED
2025-11-30 21:35:48,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:51,minhtri,OPENFACE,0.34,GRANTED
2025-11-30 21:35:52,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:35:55,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:01,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:07,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:11,minhtri,OPENFACE,0.29,GRANTED
2025-11-30 21:36:16,minhtri,OPENFACE,0.34,GRANTED
2025-11-30 21:36:17,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:19,minhtri,OPENFACE,0.32,GRANTED
2025-11-30 21:36:24,minhtri,OPENFACE,0.24,GRANTED
2025-11-30 21:36:28,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:36:32,minhtri,OPENFACE,0.22,GRANTED
2025-11-30 21:36:35,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:36:37,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:38,minhtri,OPENFACE,0.31,GRANTED
2025-11-30 21:36:41,minhtri,OPENFACE,0.28,GRANTED
2025-11-30 21:36:42,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:45,minhtri,OPENFACE,0.26,GRANTED
2025-11-30 21:36:45,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:48,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:50,minhtri,OPENFACE,0.41,GRANTED
2025-11-30 21:36:53,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:36:56,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:36:59,Unknown,OPENFACE,1.00,DENIED
2025-11-30 21:37:01,minhtri,OPENFACE,0.27,GRANTED
2025-11-30 21:37:04,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:37:08,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 21:37:11,minhtri,OPENFACE,0.21,GRANTED
2025-11-30 21:37:16,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 21:37:22,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 22:46:02,minhtri,LBPH,71.90,GRANTED
2025-11-30 22:46:05,minhtri,LBPH,72.87,GRANTED
2025-11-30 22:46:08,minhtri,LBPH,80.56,GRANTED
2025-11-30 22:46:11,minhtri,OPENFACE,0.27,GRANTED
2025-11-30 22:46:15,minhtri,OPENFACE,0.21,GRANTED
2025-11-30 22:46:18,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 22:46:22,minhtri,OPENFACE,0.17,GRANTED
2025-11-30 22:46:25,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 22:46:28,minhtri,OPENFACE,0.20,GRANTED
2025-11-30 22:46:32,minhtri,OPENFACE,0.19,GRANTED
2025-11-30 22:46:32,Unknown,OPENFACE,1.00,DENIED
2025-11-30 22:46:36,minhtri,OPENFACE,0.18,GRANTED
2025-11-30 22:46:39,minhtri,OPENFACE,0.22,GRANTED
